time:7.76011323928833, length:1.7522024902841205, ratio:0.2182686567164179
time:4.0964131355285645, length:1.1505377948881144, ratio:0.16059701492537312
time:2.266789197921753, length:0.25481367079585404, ratio:0.13838805970149254
time:9.255562543869019, length:1.3583924974004276, ratio:0.17665671641791045
time:6.205453634262085, length:1.8860573671703347, ratio:0.21982089552238807
time:6.532924175262451, length:2.022402251530258, ratio:0.22728358208955224
time:4.222996473312378, length:1.1241941664400934, ratio:0.17826865671641792
time:4.73103404045105, length:1.576350973988757, ratio:0.19671641791044775
time:4.03031325340271, length:1.152717936442982, ratio:0.16811940298507463
time:4.227168321609497, length:1.1211583892518526, ratio:0.1653134328358209
time:3.050198793411255, length:0.5590763220333332, ratio:0.1551641791044776
time:2.498067855834961, length:0.25541579589619706, ratio:0.14083582089552238
time:13.853739738464355, length:1.532020924200311, ratio:0.2088955223880597
time:6.192241907119751, length:1.45810174839452, ratio:0.18841791044776118
time:4.23909330368042, length:1.1449209979504227, ratio:0.1697910447761194
time:3.84325909614563, length:1.1489496760877298, ratio:0.16429850746268657
time:4.556380271911621, length:1.1391801165794557, ratio:0.16274626865671643
time:4.694211721420288, length:1.5772623767662792, ratio:0.2084179104477612
time:4.1084208488464355, length:1.1322173759971244, ratio:0.17098507462686569
time:7.281572341918945, length:1.4849322070146684, ratio:0.1928358208955224
time:2.6404314041137695, length:0.6894791891686067, ratio:0.15611940298507462
time:5.798835515975952, length:1.3563423999228676, ratio:0.1792238805970149
time:9.43831491470337, length:1.4238315050045744, ratio:0.19134328358208955
time:6.085943937301636, length:1.4222221899454388, ratio:0.17617910447761195
time:2.5327868461608887, length:0.25689650098320155, ratio:0.13982089552238805
time:3.148737668991089, length:0.6848601805565869, ratio:0.15725373134328358
time:6.929043292999268, length:1.3995524641129318, ratio:0.18698507462686567
time:7.380580425262451, length:2.4612033769295483, ratio:0.2514626865671642
time:4.674049377441406, length:1.5537539381551988, ratio:0.18495522388059701
time:4.466737747192383, length:1.1427212088642458, ratio:0.17719402985074628
time:4.508678436279297, length:1.149075395526412, ratio:0.16638805970149254
time:4.28900408744812, length:1.1629621304711404, ratio:0.15522388059701492
time:5.601436138153076, length:1.5440570343594435, ratio:0.18722388059701492
time:3.0084028244018555, length:0.6959766570883721, ratio:0.14967164179104478
time:4.676234006881714, length:1.5482501802528863, ratio:0.19301492537313433
time:3.539538621902466, length:0.5443013419647107, ratio:0.15188059701492537
time:2.5178301334381104, length:0.2638154396961356, ratio:0.14053731343283582
time:4.475099086761475, length:1.1436241067328576, ratio:0.1582089552238806
time:2.4193058013916016, length:0.27233416421548395, ratio:0.12782089552238807
time:2.8798346519470215, length:0.7029815029353162, ratio:0.15176119402985075
time:5.515277862548828, length:1.5742920198131605, ratio:0.20405970149253733
time:3.8251590728759766, length:1.1377466493642459, ratio:0.16256716417910447
time:4.068071365356445, length:1.0706374625189217, ratio:0.16017910447761194
time:4.534203767776489, length:1.1050599677996722, ratio:0.17850746268656717
time:7.409024953842163, length:1.3555848505944428, ratio:0.17444776119402985
time:2.2771503925323486, length:0.25129054159947445, ratio:0.12823880597014925
time:13.19399380683899, length:1.4905721596965495, ratio:0.19797014925373135
time:4.297072887420654, length:1.1520998876834172, ratio:0.15892537313432836
time:5.952590703964233, length:1.380177145013534, ratio:0.18549253731343285
time:5.145422458648682, length:1.601349451000644, ratio:0.21032835820895524
time:4.5727739334106445, length:1.1423050061404452, ratio:0.17808955223880596
time:4.454971790313721, length:1.1320127585109951, ratio:0.17964179104477612
time:5.420785427093506, length:1.5748115358842527, ratio:0.2053134328358209
time:5.458717584609985, length:1.594147830981754, ratio:0.2062089552238806
time:4.819592237472534, length:1.3618920956599498, ratio:0.1763582089552239
time:14.918185234069824, length:2.1767289979107303, ratio:0.22029850746268656
time:4.301480054855347, length:1.1408603630025147, ratio:0.17367164179104477
time:8.827030897140503, length:3.359909246888125, ratio:0.31265671641791043
time:7.871230840682983, length:1.571195660722732, ratio:0.20865671641791045
