time:11.8331458568573, length:4.209334338326982, ratio:0.3671044776119403
time:2.713628053665161, length:0.7063407733112723, ratio:0.1497313432835821
time:4.81173849105835, length:1.5234392763114195, ratio:0.184
time:7.146327972412109, length:2.096346015341168, ratio:0.2570149253731343
time:3.249748468399048, length:0.6651841903521019, ratio:0.1528358208955224
time:3.205902338027954, length:0.682602345369545, ratio:0.15844776119402984
time:5.037542343139648, length:1.5421689321040928, ratio:0.199044776119403
time:10.897521257400513, length:3.3013028582566712, ratio:0.31438805970149253
time:6.979062795639038, length:1.5356139678292664, ratio:0.20238805970149254
time:11.430885553359985, length:1.4797007304218255, ratio:0.18017910447761193
time:5.38620924949646, length:1.6081056105306433, ratio:0.19516417910447761
time:14.987833023071289, length:2.1814199007281867, ratio:0.25737313432835823
time:9.532975912094116, length:3.3282246190192675, ratio:0.28638805970149256
time:6.836882829666138, length:1.7569351561904063, ratio:0.2503283582089552
time:4.918658018112183, length:1.5890217217957223, ratio:0.1955820895522388
time:6.21816349029541, length:2.013627942936075, ratio:0.23002985074626867
time:5.760512351989746, length:2.0766577048216535, ratio:0.21892537313432836
time:8.35145378112793, length:1.7898431927604213, ratio:0.21701492537313433
time:4.946243762969971, length:1.5808161269978638, ratio:0.19755223880597014
time:8.124836921691895, length:2.0018308797892588, ratio:0.21785074626865672
time:6.398326635360718, length:2.0309568394279096, ratio:0.20155223880597015
time:5.148984909057617, length:1.5937067214240899, ratio:0.19044776119402984
time:8.032359600067139, length:2.167361475623627, ratio:0.2528955223880597
time:10.001013040542603, length:3.7396782460430837, ratio:0.30686567164179107
time:20.176872968673706, length:4.127092074905939, ratio:0.3567164179104478
time:2.7107579708099365, length:0.6863425842601565, ratio:0.15211940298507462
time:10.492020845413208, length:3.779074161737525, ratio:0.3296119402985075
time:5.719914674758911, length:2.0066724326934877, ratio:0.2098507462686567
time:6.247105121612549, length:2.03925793209307, ratio:0.21576119402985075
time:12.504918336868286, length:3.8008548649136547, ratio:0.35319402985074627
time:5.730606317520142, length:2.042821984347397, ratio:0.21385074626865672
time:5.740450859069824, length:2.0168863105898973, ratio:0.21480597014925373
time:5.075645685195923, length:1.6024857658725795, ratio:0.199044776119403
time:4.833255767822266, length:1.5461626857015571, ratio:0.18549253731343285
time:5.189928293228149, length:1.5864762727680644, ratio:0.19552238805970149
time:4.254832029342651, length:1.1284438598551199, ratio:0.17038805970149254
time:3.7065820693969727, length:1.100098195541203, ratio:0.1617313432835821
time:8.249854564666748, length:1.7973794189219754, ratio:0.23122388059701493
time:5.113844156265259, length:1.566447190556751, ratio:0.191044776119403
time:5.7395219802856445, length:1.6549620536885212, ratio:0.20095522388059703
time:10.12876558303833, length:3.6714231673058446, ratio:0.33265671641791045
time:6.472450256347656, length:2.034295108225891, ratio:0.2333731343283582
time:5.028491735458374, length:1.5408520523814702, ratio:0.16973134328358208
